#,Address,OP,Points,Alpha Gal,Ape Warrior Redux,Base of Bored,Bored 101,Bored Council,Bored Survivors,Bored Town,Bored WOW,Catens,Faceless Portraits,Faceless Totz,Mangmoom,MONO is Bored,Nova Ape,NovaNaut,Robonaut,RoboSkull,The Vintract,Zkalien
3959,0xFbDA68277C95855cF5C1fB741696DD08C30309bb,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFba706788F8E5500Db336c045eBc450d17173d0F,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xFc0C7BeaCd53cB9DDC48C00140c0cc4fbc07f61c,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFc29552Ed5B83d5E72B2254d9597985a865F1dae,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFc5fB8D52017DdB7A803Ec20d299fCc94cA9EaA0,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xFc67A9329c9d3C49719dBdFaf5ACd25e7201812e,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFc6972406A03d2D46AFD8639fc556C7CfEB34600,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xFc7291E835409d4A1d66e6e2daB50A447212f3Cd,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFcD1817095750E55531c5c957E307DB501F6138d,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xFcb001eB6c1873Db490e341b806D635A8A9E3d30,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFcd04A5daaa0910122013ea760a159D25981Cc81,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xFd2C776de4754916e426eBd7C7342B892Fd18C9b,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFd41C43280F43AA6DEffb30A6DDd7eA96DffB15c,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFd6993f4aCf5A6AAc177C2681AB85F8D29159E60,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFdC380Ab77879c6B9a6Abacf6DB05CF30B204fa9,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFda1215797D29414E588B2e62fC390Ee2949aaAA,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xFe5A75f14e2923C7ef02045210DF170B807A3CC5,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xFe5b4c1Edaf231DDA874DD158297ba2EC4254B69,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFe76fd0c6bC4D1f177D9c04beFC3aE702e7aE310,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xFeBF5468D9ff096C70401d8E8E3FbB61F868536a,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFeDdE72BA1633d8d69d32C9Ea6Ff561Ea3451Af8,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFeb623adaF1821dE8a0689d544c672269D736743,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFec8e6e95aCA68DF76F45176C3E39e530308d6f0,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xFf148d193436FD19CdfB3af2a7B7121fc754389a,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xFfb2D556D654FF461750414d2eBE5808dFF85169,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa010A231E75ea61Bf6491e72C3E8861eb8Dc33a2,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa0209b6bFC479c9fD0a7b33edE8fEff489e682b8,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa02e3E932F94af2C7b35d7d9ee9b255FcC9d3504,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa06AE89f2e1146524A26BF00656E212d9C330824,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa08ED20007429BE669A48d3B6686538388B773fE,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa08F235264EC058333DBbDF2be8dc57751dC2210,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa093Fd7eD5db7d137259131F0154b91f7076C99D,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa0B80926dCBE70488AcAf1C55FF075E8F740c7b4,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa0Bb394Be5CC8783BD1f00E3843088791B5242a7,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa0Cbee656Ef5d7B49882b3D61Fd086082256dfB2,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa0Ee87d4Cd3D58BA7970b13d5c910b197635104A,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa0e0f0005da22867C73B1fead0BFF28680B9cb68,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa0fB22544eBa045cd4C8d0F1bd769f8D74180372,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa125EE763E6d8F7d32655b5A8Ca159b403091DA5,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa13CB09D27Ca0942AB910d9bcCDfcc3a22aEb4b3,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa17509821f93CF1AfDc38B0D46bBE6418D85DD48,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa17ed99471c9A31e93505179b122cBde4d0268E2,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa1D7ADE303fAE691A1aa11E85D7fc77F496ed683,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa1aFa93a4CA2490A5B1D45E4af9B01B27Ab9E8f5,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa2019fECdc83C0fE37D0ed8b3BC0dF6b8373602b,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa225Ce1f73Bb42eBfed8a90644f1278aA95d6C98,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa27135126E137E3CaA11212240a1FFBF8D979De1,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa27EAcDcF251dbe4DfAF9b0865BE8CB0195Db0f5,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa288D4092254f3C8ba503675B3430B92D1B30F90,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa2F0ABF4305b9610F57b968310873179C58b7e82,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa2d15e18709C20047c48B5f78014cAA1772dA429,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa2e8FF6b582AfC8f8c8E3d8C497eaEb7C35c5D0f,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa31A6b79169C7d268d2D7461A8b65a0D6d522c58,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa34cceBB61efFB2d9413Af772bE8eEddfBDD88C8,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa35b8593eB369342EEE4a876c19c98C14A26D1CA,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa384a8859ba680726F73f598373E3081A00Fb9ca,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa39d8FCc08E46f8edb8AE5d3F440dDe0960A2d45,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa3E34FD5B1742332d914713731A004eA4c24d22D,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa3bBcb2154184a2E8D4aBa303a2E9207113E409D,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa3dF90Bf8E8183A74b537B27e3955BA7D8De199c,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa4043fBAB8b6313ea00C56925878eD7A51a3Ca0d,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa417bD32b4405a9Db92298B94Dc019B64dD8AA35,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa42561Dfb0B4a27d9132816E493e632D2bfB043C,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa42f6c5Cf7871560a77f2FF9fd96B60B3180bA31,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa432cf92DCB8636cbF697F1c1C8076Bb7F82F314,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa4431D8aD55bC69C055cD452D58640764aC1185c,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa44e16847439FD95d591a4064262E85dEe18516b,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa465e30CaD80eF8F1109EA0A6C177749Cca73657,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa46D49E6F816ED1F8079e662E9B17320Cd8c8Bcf,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa48f2aA3239278866d059a50E583AD2a443ccc6B,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa495893ceB72AE222D1e34d2Dc1872B83c47D5fA,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa4B460211a9c7D4Eb8Db12E2FD40B420417B3463,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa4C01FCa6E5cbfC72b0627239CA8f414e88bEc0a,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa4CEDfF8791C21388c3d08876f68906EcFCeB292,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa4aA78684d6Bef2820c577C78b13032D167981b8,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa4b4dC1702C38aE12BA19d2E6CfB1f5050f2A846,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa4d3316B09125C0d1Bbfe757f43D3Aae4e4e9D8f,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa51D67428619f50f3ff5b213c561249Fb249A96F,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa51f048C370d6E11f0198aCfcDD7eEccC60c0FB2,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa5478677f3d8e885481354746EfC48CD14051b6C,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa54D6FD8143Af647F49D57f98db806376040868a,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa56fE10FF0906E887370d8aB0cCad43fe265338C,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa58623E160517a2D439227c7714f4340FD02Bd13,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa58843b38932a73d482E91b9b6b0BF3482d7Bd67,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa5Fa57608C5698120A7C3c9d50EC346bb3980223,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa5dA7d8b49B25f324ea00Fe582d5E6BA8C9B78F9,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa5e9558C20449b5af8F96FCaA8cA3cC270f57C68,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa5fcf2784f14a4348CC5E6e0406e48f0a6d587f3,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa602643A84A696c72F5997F005F50eFf5e98E232,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa61AC31A55690F3bf65fC7d67052693Da564882b,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa61Ac42aa0c537ddEC339BE55a7C9785e5453399,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa61af5c80de946B814653a858a5f3b23506aEEC9,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa630F23Ca51D0A7110aB30d0756FcA3819B1a3eF,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa63B131380355a7a13c96641466F2F2C4cFb6A9e,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa6F0bB7DC456De361eC2f22240F6cC39c2C7D512,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa6bD4d132da6aFBec65dEe0c489FD025d3839941,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa6f49BEbF516A7a403e1cbEbC85556347CBa62dE,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa71B5a72470A7A024Cc1A81B4D1e621d9341FC71,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa74155a41A5515dE499943A57C888f9928c7F3Ce,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa744b30277a26cB92cD4a92Dbdf169CD1503522C,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa74563eC55836d385424B746834e834fF9081e2b,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa74cB71969c6476eC42B6fc740D9CE2a496aFD5B,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa765a1c610e0A3051b1aC5eBf6d7c883547b9CA6,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa7701E136c14ddeeC170ec9737872B2886571D49,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa77024Bd9b963eb9A0DfAfb9894d79f3DAe8444F,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa77CE92A601D504a6D64af843EB5a3994616969c,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa77cE71e64Da4bE939555c1B47bC65b30C35F0a3,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa7AFa4f00638e36fEe905b50719C0eEE5aC645a3,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa7C38d6656F754F2c13211a6FCeA95F5A339111B,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa7De721e1B9d650F84a449115F72C8b8B6bC3de1,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa7b5433FFE5CFB33133Ad915b5C25385a451DD49,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa80c148A4A39c963Ccf3490E300c66b39CEc237d,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa81ad46743Cb90F87726D1C8B5a8dd9f39FBa949,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa83b7c10432aD63294C3f2bBF7200284116a105b,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa8604fB0579C640C95546CF27AED62a4deA24600,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa872da0dd4a5e2C249DfF9af57723421Ce14994c,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa8783B94F365F19F3310B39007023625Fa056A99,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa87B08d9110D1A2230D94ff711f03594C0B9B414,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa8B285253cfFbbBBE5D1119B5fb486BAeEA369d2,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa8B3FcaFcF8672227E7981A2a1d2635e37DD8f5C,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa8e774dB9101eb5b23beE1Ab6799F02563d2F6Bf,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa92205BE1F242E2a16E21c2A1d9364fC01d6A995,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xa9436a0E4BfD13D8EaBf288435fc850d74D22026,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa94bF67b3c93bEBe45b90109bdE5A40ac504CD75,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa9531D3B5483bef6FaE3B4Be62Ccd83697aB92b1,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa9A19D2Ac90bCa89FF58bDA3C98eA3E6500B09C3,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa9BE2323EF9BdAad5f17462C39A7dB114FfE1f0A,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa9BaFBeC10FFd28D122B1C19Ff7a5daBD7364E22,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa9Ce2A58E2434C460cF804bd90cd6C9fD945167d,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa9D20792335725c81E9507fb292FF3EE63A011A3,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xa9Ed357CD1480E0257c14e22478bE7dBe9Cf97b0,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaA0dc16f7E07bAf7B1dF877281b8CB782ad37b0B,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaA10F5b325d5213eDF105Dd17B9331cA709C576e,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaA3a7E6Db4E343093F62F41395A86F33E5FAC4C0,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaA4B2A4a5FD4b3187133Fc681466EEbDb31eE6D2,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaA8e5155b2B2da30767BD98561069ceF78886b99,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaA8e72da17822F3596BDFAB8Fc7B2f2CB949cda8,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaAB28578071dB00c79F2F7F62d43696da895BD26,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaAD457095543c41A8759d76c00a1E8409dA22Ea8,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaAe567Cf1F7b78b4A5D9f9A8852838B2720d5b43,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaB0D6eB6F2057d4f470Bba555Fd2b11bE4e2C3e0,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaB4556262319aBE89562e380D1d79a48d79136a7,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaB6a9c245A2f43f0e90B412Be89Fcbb370719780,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaB70471832614F8B181A9eaF519E61E968A0aC3a,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaBB350ef71450CE93EEFA290932047B74f2ee53D,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaBDBf4Bb5985aFa605e1fc53cd01A961DC94F593,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaBEc8077A89cBfE46Dae191064751e7AfcA49d11,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaC0Be1793b8100F84c4c54C705aA316D8C70DdA7,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaC2804922546e688532d9BaDec24CE145bBAD93c,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaC2d92aCaC9Ef81a7a3e79c5a18510505da60d54,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaCE1f1c6c5c89AE3Fc3209ff92e7120fb74445aA,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaCFa3e822961CedE6dAbBBeef96838FEC3Ad3d47,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaCe375eE831Cf31dCD89ef270B91dE53b02620bF,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaD465e3247354A4879deD088e358B2894e9BE476,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaDF20f21d3Ab9BbB22a62B55cEe59cAACECa704a,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaDe30D1Ee4e061d5FeE5a893f6DaED087E917796,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaDf4eAA44cfd6A7798880A89B4D0e828Be467363,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaE212047669aC8C123D2eEC24b28EC8b48DE7DfA,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaE2d5d2289a57261CE3cB18b9B4Df5DaF579EB5d,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaE6E7968bbb3179434D49a33862DA82c4273C39F,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaE765e33b95fCA20Ab3a24eB87857ad61AdF4EdA,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaE9711da497e468fB90b756B6ccD5511cF739F18,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaE9E9412eE360811A3A35D0806cDAD665b1a3EE4,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaEA5bDbD61269d0438F9CEAde8AAD86b85C8183B,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaEB66894A7536C70489fa216909E4eF5C2E8d6A7,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaEc879B70D531dB21c1f4aCcEe9d4cCcB68EAfaC,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaF3aF04ef762deFc2F7a770e226Ba1EEA7fcd791,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaF548308d2d2c6b82242A21f22324152DA1B2F26,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaF884fc78e7446e3e11e8E4C7d4e2085B8aAF956,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaF9727dB19690208DB9DF2c9Ebfd0eF891cd30c1,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaFC4756309653392C964F70e35f85D13031c3ABB,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaFe2002ec28f46EF5c77dCA1460f99f3a7D3ce0A,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaa0c6c0a33fABF9932701817F081A5D1992e75Bb,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaa266721B88A587A5deFf640089D3085E5226C2f,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaa5CEF8855E2a958a5753b99Be3b0457e9a45140,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3959,0xaa8BDB60eE28E7616Bfe4867f58BfE4EDF858271,TBA,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
3959,0xaaA46AD29ff80d09bbAcd90332D0e2EFd233dDF5,TBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
