#,Address,OP,Points,Alpha Gal,Ape Warrior Redux,Base of Bored,Bored 101,Bored Council,Bored Survivors,Bored Town,Bored WOW,Catens,Faceless Portraits,Faceless Totz,Mangmoom,MONO is Bored,Nova Ape,NovaNaut,Robonaut,RoboSkull,The Vintract,Zkalien
33,0x53eA5F4A77F5A063612D2e34B247AD14e1858DE6,TBA,61,1,0,0,0,0,0,0,0,0,50,10,0,0,0,0,0,0,0,0
33,0x54B174179Ae825Ed630Da40b625Bb3C883CD40ae,TBA,61,1,0,0,0,0,0,10,0,0,50,0,0,0,0,0,0,0,0,0
33,0x5E014aa0649102E07c074f498845F01BCD520317,TBA,61,0,0,0,50,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0
33,0x71E0Da67B053d536DC247C89C8206a33b3BACcd6,TBA,61,1,0,0,0,0,0,0,0,0,50,10,0,0,0,0,0,0,0,0
33,0x7f7a100DC0Fb1A59378b3B8B34Ac44Fab511Dd5A,TBA,61,1,0,0,0,0,0,10,0,0,50,0,0,0,0,0,0,0,0,0
33,0x870bb39d8040a86B1FB55cfA9f640909DaC441Fe,TBA,61,1,0,0,0,0,0,0,0,0,50,10,0,0,0,0,0,0,0,0
33,0x945FC81C9edc66609F54cD19Cdb4500713F8a825,TBA,61,1,0,0,0,0,0,0,0,0,50,10,0,0,0,0,0,0,0,0
33,0xF58E8ef86c49556CE0bEFe9d4FE279362A230d2d,TBA,61,1,0,0,0,0,0,10,0,0,50,0,0,0,0,0,0,0,0,0
33,0xF89f92b81894C9C89B5a5964Df2fcFF5727c2599,TBA,61,1,0,0,0,0,0,10,0,0,50,0,0,0,0,0,0,0,0,0
33,0xebe5F307aeEaa63b5dC1f421b6a44EF82642F33f,TBA,61,1,0,0,0,0,0,10,0,0,50,0,0,0,0,0,0,0,0,0
33,0xee10426CbF833Ce01D0bB7c0b05C5E9E4bE01bB1,TBA,61,1,0,0,0,0,0,0,0,0,50,10,0,0,0,0,0,0,0,0
33,0xf5994ADAB26b15418e5b14A09C0A230E0F68F467,TBA,61,1,0,0,0,0,0,0,0,0,50,10,0,0,0,0,0,0,0,0
52,0x3d272E560ADD9e0dF198daE4069510C660D35434,TBA,60,0,0,0,0,0,0,0,0,0,50,10,0,0,0,0,0,0,0,0
52,0xA1FC050c91FCbB6a1A7B6D41dFa168CF0A4b2858,TBA,60,0,0,0,0,0,0,10,0,0,50,0,0,0,0,0,0,0,0,0
54,0xAbD4d2b15ED7C40A2a37a5C4eb4d204ba6F208dd,TBA,52,1,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0
55,0x00Da781Fe9fddf3367c71507cC3a0eE6a8f77FD9,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x027041f1F636416709A551fDAcab232f38C120A5,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x0349234eef4c8B03f2940dc15CC2F3D281c61F8c,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x05b98944A834dC2Ec348a5dA101556cA2ab01A69,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x0aB8C667b5c18faE4dBd8C76dAE71018bea2dAba,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x0c2887a18900480F1eC69E4E464684AF6918D4c1,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x0fAe6DCA9A48616CFDfe423Ca079ff412521a1e9,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x12e140a67a661E2f73e699D5864Ba5Cb20DB4bF3,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x13ff6C84Ce051A8450f6De2F34B4Cc5666F17Fd4,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x184C6F8d494DBf5AcEe2e5317c528c01648a740F,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x18cCC241CcE98a67564E367eBc1F1f0e692E3188,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x1A4999048a9Fa13125edCE959De4A5713B76735f,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x1E3A64ce9b4a573674284ab590b4Fc538746FA21,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x1c8Ea5c36A5fA5b8Ffa48c5F57C931A214953588,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x1d136FD3979d8FC0c92D911354240407DFa484cB,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x21CA8b1b771fb330349F7Bb386481b9c3369085b,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x2421805568981da1Ca81a2c495b51D23e67806BE,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x27B184D9C8C04b19fEdf1Ea460776eCd2264EeB7,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x2E463fe4A57c7dc57335BBC40F6c9c0F3d986605,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x2a8f1940ff9EdB8a6be937F171Cc12e1E2eAb264,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
